2026-01-03 07:21:26,613 p=94759 u=dgoldgar n=ansible ERROR| [ERROR]: Unable to read source file (/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml): [Errno 2] No such file or directory: '/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml'
2026-01-03 09:36:24,677 p=3409 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 09:36:25,016 p=3409 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 09:36:25,018 p=3409 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 09:36:25,018 p=3409 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=6    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 09:36:25,580 p=3561 u=dgoldgar n=ansible INFO| PLAY [Base system configuration] ***********************************************
2026-01-03 09:36:25,581 p=3561 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:36:25,582 p=3561 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 09:36:25,582 p=3561 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:36:25,583 p=3561 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 09:36:25,597 p=3561 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 09:36:26,324 p=3561 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 09:36:26,324 p=3561 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:26,328 p=3561 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 09:36:27,076 p=3561 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:27,078 p=3561 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 09:36:27,640 p=3561 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:27,643 p=3561 u=dgoldgar n=ansible INFO| PLAY [Test] ********************************************************************
2026-01-03 09:36:27,646 p=3561 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 09:36:28,166 p=3561 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:28,168 p=3561 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 09:36:28,178 p=3561 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 09:36:28,180 p=3561 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 09:36:28,507 p=3561 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 09:36:28,510 p=3561 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 09:36:28,510 p=3561 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=6    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 09:36:40,214 p=3722 u=dgoldgar n=ansible INFO| PLAY [Base system configuration] ***********************************************
2026-01-03 09:36:40,215 p=3722 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:36:40,216 p=3722 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 09:36:40,216 p=3722 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:36:40,217 p=3722 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 09:36:40,231 p=3722 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 09:36:43,057 p=3722 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 09:36:43,057 p=3722 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:43,061 p=3722 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 09:36:43,859 p=3722 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:43,861 p=3722 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 09:36:44,443 p=3722 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:44,446 p=3722 u=dgoldgar n=ansible INFO| PLAY [Test] ********************************************************************
2026-01-03 09:36:44,449 p=3722 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 10:01:14,082 p=4074 u=dgoldgar n=ansible INFO| PLAY [Base system configuration] ***********************************************
2026-01-03 10:01:14,083 p=4074 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:01:14,084 p=4074 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 10:01:14,084 p=4074 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:01:14,085 p=4074 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 10:01:14,102 p=4074 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 10:01:14,869 p=4074 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 10:01:14,870 p=4074 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:01:14,871 p=4074 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 10:01:15,502 p=4074 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:01:15,505 p=4074 u=dgoldgar n=ansible INFO| PLAY [Test] ********************************************************************
2026-01-03 10:01:15,507 p=4074 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 10:01:17,288 p=4074 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:01:17,291 p=4074 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 10:01:17,303 p=4074 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 10:01:17,305 p=4074 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 10:01:17,662 p=4074 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 10:01:17,665 p=4074 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 10:01:17,665 p=4074 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 10:03:53,511 p=4328 u=dgoldgar n=ansible INFO| PLAY [Base system configuration] ***********************************************
2026-01-03 10:03:53,512 p=4328 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:03:53,512 p=4328 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 10:03:53,513 p=4328 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:03:53,514 p=4328 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 10:03:53,530 p=4328 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 10:03:54,276 p=4328 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 10:03:54,276 p=4328 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:03:54,277 p=4328 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 10:03:54,867 p=4328 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:03:54,870 p=4328 u=dgoldgar n=ansible INFO| PLAY [Test] ********************************************************************
2026-01-03 10:03:54,872 p=4328 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 10:03:55,623 p=4328 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:03:55,625 p=4328 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 10:03:55,637 p=4328 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 10:03:55,639 p=4328 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 10:03:55,999 p=4328 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 10:03:56,002 p=4328 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 10:03:56,002 p=4328 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 10:06:07,928 p=4664 u=dgoldgar n=ansible INFO| PLAY [Base system configuration] ***********************************************
2026-01-03 10:06:07,929 p=4664 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:06:07,930 p=4664 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 10:06:07,930 p=4664 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:06:07,931 p=4664 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 10:06:07,946 p=4664 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 10:06:08,740 p=4664 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 10:06:08,741 p=4664 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:06:08,742 p=4664 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 10:06:09,361 p=4664 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:06:09,364 p=4664 u=dgoldgar n=ansible INFO| PLAY [Test] ********************************************************************
2026-01-03 10:06:09,367 p=4664 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 10:06:11,182 p=4664 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:06:11,184 p=4664 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 10:06:11,195 p=4664 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 10:06:11,198 p=4664 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 10:06:11,564 p=4664 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 10:06:11,567 p=4664 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 10:06:11,567 p=4664 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 10:21:00,106 p=5163 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 10:21:00,121 p=5163 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 10:21:00,920 p=5163 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 10:21:00,920 p=5163 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:21:00,922 p=5163 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 10:21:00,933 p=5163 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 10:21:00,935 p=5163 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 10:21:01,377 p=5163 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 10:21:01,381 p=5163 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 10:21:01,385 p=5163 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 10:21:02,066 p=5163 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:21:02,068 p=5163 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 10:21:02,657 p=5163 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:21:02,660 p=5163 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 10:21:02,661 p=5163 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:21:02,661 p=5163 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 10:21:02,661 p=5163 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 10:24:07,440 p=5485 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 10:24:07,454 p=5485 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 10:24:08,184 p=5485 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:24:08,187 p=5485 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 10:24:08,198 p=5485 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 10:24:08,200 p=5485 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 10:24:08,620 p=5485 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 10:24:08,624 p=5485 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 10:24:08,628 p=5485 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 10:24:09,299 p=5485 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:24:09,302 p=5485 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 10:24:09,905 p=5485 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:24:09,908 p=5485 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 10:24:09,909 p=5485 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:24:09,909 p=5485 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 10:24:09,909 p=5485 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 10:24:36,039 p=5697 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 10:24:36,053 p=5697 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 10:24:36,776 p=5697 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:24:36,778 p=5697 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 10:24:36,789 p=5697 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 10:24:36,791 p=5697 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 10:24:37,228 p=5697 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 10:24:37,232 p=5697 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 10:24:37,236 p=5697 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 10:24:37,890 p=5697 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:24:37,892 p=5697 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 10:24:38,471 p=5697 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 10:24:38,474 p=5697 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 10:24:38,475 p=5697 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 10:24:38,475 p=5697 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 10:24:38,475 p=5697 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 17:05:03,912 p=10867 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 17:05:03,928 p=10867 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 17:05:07,107 p=10867 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:07,111 p=10867 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 17:05:07,130 p=10867 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 17:05:07,133 p=10867 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 17:05:07,602 p=10867 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 17:05:07,606 p=10867 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 17:05:07,609 p=10867 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 17:05:08,306 p=10867 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:08,309 p=10867 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 17:05:10,996 p=10980 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 17:05:11,011 p=10980 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 17:05:11,725 p=10980 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:11,728 p=10980 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 17:05:11,738 p=10980 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 17:05:11,740 p=10980 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 17:05:12,207 p=10980 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 17:05:12,211 p=10980 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
